# tsumugu-ed public character form list · char	pinyin	gloss	parts(glyph=role:identity | ...)	form-zh · built 2026-08-26 from entries/chars
俊	jùn	adjective — outstanding, talented	亻=meaning:a person — the one who stands out | 夋=sound:qūn — gives the sound, the initial hardening to j	一個人（亻），夋（qūn）給聲音，聲母收緊成 j。比眾人高出一截的人——出眾、有才：俊傑、英俊；好看到藏不住，就是俊美、俊秀。
俏	qiào	adjective — pretty, smart-looking	亻=meaning:a person — the good-looking one | 肖=sound:xiào — gives the sound, the initial shifting to q	一個人（亻），肖（xiào）給聲音，聲母滑成 q。一個人清秀好看——漂亮、俊俏：俊俏、俏麗；還有那份俏皮的靈巧。說貨物，賣得好的就是俏貨。
俗	sú	noun/adj — custom, the common way	亻=meaning:people — the crowd of them | 谷=sound:gǔ — gives the sound	一群人（亻）配谷（gǔ）的聲音，磨成 sú。說文說「習也」——人們習以為常的：風俗、通俗，再到俗氣。它走谷這一排：浴、裕、欲。
俘	fú	verb — to capture, take prisoner	人=meaning:a person — the one taken | 孚=sound:fú — gives the sound, and 孚 (a hand 爪 over a child 子 — to seize and hold) shades the meaning too	戰場上被抓住、扣下的人（人，亻）——俘虜。孚（fú）給聲音，本身也幫忙：孚是一隻手（爪）按住孩子（子）——抓住扣下。從被抓的人引申：俘虜、俘獲。
保	bǎo	verb — to protect, keep	亻=meaning:a person, standing | 呆=meaning:a child (子) on the back — the carrying arms worn into the extra strokes	大人（亻）背著孩子——右邊是子加上揹的手，磨成了呆的樣子。把孩子揹在背上，就是看好他：保護、保證、保持。
信	xìn	verb/noun — to believe, trust	亻=meaning:a person | 言=meaning:speech — words coming out of a mouth	人（亻）守著自己的話（言）：說出口的算數——這就是信。從守信：相信、信任；話送到遠處，就是信件；那份可靠本身，信用。沒有聲符，兩半直接拼出意思。
修	xiū	verb — to repair, to build	攸=sound:gives the sound | 彡=meaning:three drawn strokes — adornment, finish	攸——一隻手把水澆下沖洗、打理一個人的背——給聲音 yōu，磨成了 xiū；右邊三撇彡，是修飾、收尾。合起來：整治、打點。從這裡引出修理、修養、修長。
俱	jù	adverb — all, together	人=meaning:a person | 具=sound:jù — gives the sound	人（人）配上具（jù，本義是備齊、樣樣都有）。合起來：人都到齊、樣樣具備——俱全、俱在。由「都在一起」到「全都」：一應俱全、聲淚俱下。
倆	liǎ	num — the two (of them)	亻=meaning:a person — counted among the pair | 兩=sound:liǎng — gives the sound, the final clipped to liǎ	一個人（亻），兩（liǎng）給聲音，鼻音收尾掉了，成了 liǎ。口語裡指兩個人在一起：哥兒倆、夫妻倆、咱倆。
倉	cāng	noun — a granary, storehouse	亼=form:the roof of the storehouse, drawn down over the top | 戶=form:a single door-leaf set in the wall | 口=form:the opening of the store below	屋頂罩下，門扇開著，下面留個口——一座存穀的建築：倉庫、穀倉。趕著進出，引申出匆忙：倉促、倉皇。當聲音用，蓋出 蒼（青）、滄（滄海）。
個	gè	measure word — the general one	亻=meaning:a person | 固=sound:gù — gives the sound	亻是人，固表聲——最忙的量詞：想不到用哪個，就用個。
倍	bèi	noun/measure — times, -fold	亻=meaning:a person | 咅=sound:pǒu — gives the sound	人（亻）對著一個數，那數翻回來變成兩份——古訓作「反」，反成加倍。咅（pǒu）給聲音，磨向 b。由此一切倍數：兩倍、三倍。和陪、培、剖、部同一聲系。
們	men	suffix — plural for people	亻=meaning:a person | 門=sound:mén — gives the sound	亻是人，門表聲——把一個人變成一群人的字尾：我們、你們、他們。
倒	dào/dǎo	verb — (dǎo) to fall over, topple	亻=meaning:a person — the one who falls | 到=sound:dào — gives the sound	一個人（亻）配到（dào）的聲音。說文說「仆也」——跌倒：人到了撐不住的那一刻就倒下。把東西翻過正位就反轉了——倒水、倒退、倒立都從這一倒而來。
倘	tǎng	conj — if, supposing that	亻=meaning:a person — the one in the supposed case | 尚=sound:shàng — gives the sound, the initial softening to t	一個人（亻），尚（shàng）給聲音，聲母軟化成 t。用來假設一種情況——假使、如果：倘若、倘使、倘有不測。
候	hòu	verb — to wait, watch for	亻=meaning:a person, posted to watch | 侯=sound:hóu — gives the sound, tone bent	派一個人（亻）守著看——侯（hóu）是箭靶，借來給聲音，調子轉成 hòu；中間多插一小豎，跟侯分開。守著就是等：等候、問候；等過去的那些日子，就是時候、氣候。
倚	yǐ	verb — to lean against, rest on	亻=meaning:a person — the one leaning | 奇=sound:qí — gives the sound, the initial dropping away to y	一個人（亻），奇（qí）給聲音，聲母磨掉了，成 yǐ。把重量壓向一樣東西，靠著它——倚靠、倚門；再引申到靠人撐持：倚仗、倚賴。
借	jiè	verb — to borrow	亻=meaning:a person — borrower or lender | 昔=sound:xī — gives the sound	昔（xī）——日（日）壓在層層之下，曬乾的肉、過去的日子——給聲音。配上人（亻）：暫時拿走再還的人，借錢、借書；反過來借出；找東西當依靠，借口。聲母從 xī 變硬成 jiè。
倡	chàng	verb — to advocate, to initiate, to take the lead	亻=meaning:a person | 昌=sound:gives the sound	一個人（亻）配一個昌，昌是興旺光明——昌給聲音 chāng，斜成了 chàng。最早指領唱的人；從「領頭」引出「帶頭提出」：倡導、提倡、倡議。
倦	juàn	adjective — weary, tired, worn out	亻=meaning:a person — the tired one | 卷=sound:juàn — gives the sound exactly	一個人（亻），卷（juàn）給聲音，音完全一樣。一個人累得彎下身子——疲倦、厭倦；而從不喊累的人，叫孜孜不倦。
倫	lún	noun — human relations, moral order	亻=meaning:a person — within the social order | 侖=sound:lún — gives the sound exactly, and the sense of things put in order	一個人（亻），侖（lún）給聲音，而侖本就是把東西理出條理。人與人之間排好的次序：倫理、人倫、倫常。從次序引申出同類、同等：無與倫比。
值	zhí	verb/noun — to be worth	亻=meaning:a person | 直=sound:zhí — gives the sound, an exact match	人（亻）加直（zhí），聲音一模一樣——直是一隻眼睛順著直線看。本義是遇上、輪到：值班，輪到你當班。東西放上秤，對上的那個數，就是它值多少——值得、價值。
假	jiǎ/jià	adjective — false, not real	亻=meaning:a person — the one doing the borrowing or pretending | 叚=sound:jiǎ — gives the sound	右邊 叚（jiǎ）——崖下兩手遞東西，借的本字——管聲音。配上人（亻）：借來而非本有的，於是不是真貨——假的、真假；姑且設想，假如、假設。讀 jià，是借來的歇息——放假、假期。
偉	wěi	adjective — great, mighty, outstanding	亻=meaning:a person | 韋=sound:gives the sound	一個人（亻）配一個韋，韋畫腳繞著守衛的城邑（圍、衛的本字）——韋給聲音 wéi，斜成了 wěi。意思落在「不尋常的人」：奇特，再到偉大、雄壯。從這裡引出偉大、偉人。
偏	piān	adj/adv — slanted, partial, one-sided	亻=meaning:a person — the one tilting one way | 扁=sound:biǎn — gives the sound, the initial unvoicing to p	一個人（亻），扁（biǎn）給聲音，聲母清化成 p。一個人歪向一邊，離開正中——偏向、偏見、偏心。同樣的偏離，也轉成偏要做的固執：偏要。
做	zuò	verb — to do, to make	亻=meaning:a person | 故=form:rendered bare — the graph split from 作 in vernacular writing	一個人（亻）在動手。這個字是作的白話分身——一個詞，兩個寫法，後來分了工：作管書面上的（工作、作家），做管動手的日常（做飯、做事）。
停	tíng	verb — to stop	亻=meaning:a person | 亭=sound:tíng — gives the sound	人（亻）走到亭子（亭）就停下——旅人在有遮蔽的地方歇腳。亭直接給聲音，沒走樣。由此凡是不動的都是停：停止、停車、停留。
健	jiàn	adjective — strong, healthy, robust	亻=meaning:a person — the body in question | 建=sound:jiàn — gives the sound	建（jiàn）——一隻手在路（廴）邊豎起筆來規劃，「建立」的字——給聲音。配上人（亻）：把身子立得結實穩當，健康、強健；做事帶勁，健步、健談。聲音原封不動。
側	cè	noun/verb — the side, flank	亻=meaning:a person | 則=sound:zé — gives the sound	人（亻）配上聲音則（zé）——站在一邊。說文一個字：㫄，旁邊。從人在旁，引出一切的側邊（側面、兩側），和歪過身去的動作：側身、側耳傾聽。
偵	zhēn	verb — to investigate, scout, detect	人=meaning:a person | 貞=sound:zhēn — gives the sound	派一個人（人，亻）暗中察看、查出真相——偵。貞（zhēn）給聲音，音不變。從偵察引申：偵查、偵探、偵測。
偶	ǒu	noun — an idol, figure	亻=meaning:a person — the human shape carved | 禺=sound:yú — gives the sound, drifted far to ǒu	一個人（亻），禺（yú）給聲音，漂得很遠，成了 ǒu。本義是木頭刻的人形——木偶、偶像。刻來配人的，引申為配偶；成對而齊整的，是偶數；湊巧碰上的，就是偶然、偶爾。
偷	tōu	verb — to steal	亻=meaning:a person | 俞=sound:yú — gives the sound	一個人（亻）暗地裡取——古訓「苟且」，凡事抄近路。俞（yú）給聲音，到這裡跳到 t-，走得遠。由偷竊引到一切偷偷的事：偷東西、偷懶、偷閒。俞系有愉、輸、逾。
傅	fù	noun — a tutor, mentor	人=meaning:a person | 尃=sound:fū — gives the sound	人（人）配上尃（fū，鋪開、敷上）。把學問敷在學生身上的那個人——老師：師傅。同一個「敷上」也用在實物：塗抹——傅粉。
傍	bàng	verb — to be near, alongside	亻=meaning:a person — the one drawing close | 旁=sound:páng — gives the sound, the initial hardening to b	一個人（亻），旁（páng）給聲音，聲母硬化成 b。緊挨著一樣東西站——靠近、依傍：依傍、傍邊；一天快走到盡頭的時辰，就是傍晚。
傘	sǎn	noun — umbrella	傘=form:rendered bare — a pictograph of the open umbrella	整個字就是一幅畫：頂上的傘蓋（人），底下張開的四根傘骨（㐅㐅），中間一根傘柄直落到底（十）。撐開來就是那把傘本身。由頭頂的遮蔽，引到一切傘形的東西：雨傘、陽傘、降落傘。
