# tsumugu-ed public word list · headword	pinyin	gloss (full en definition)	level · built 2026-08-26 from entries/words + indexes/by-level.json
京城	jīngchéng	noun — the capital city (where the ruler or government sits)	TOCFL 7
人事	rénshì	noun — personnel, human-resources matters; human affairs; the ways of the world	TOCFL 4
人人	rénrén	pronoun — everyone, every person	TOCFL 1
人們	rénmen	noun — people, folks (people in general)	TOCFL 3
人力	rénlì	noun — manpower; human labour; human strength	TOCFL 1
人口	rénkǒu	noun — population	TOCFL 3
人員	rényuán	noun — personnel; staff; members	TOCFL 3
人均	rénjūn	attributive — per capita; per person (on average)	TOCFL 6
人士	rénshì	noun — personage; figure; person (of some standing)	TOCFL 5
人大	réndà	proper noun — the National People's Congress, China's top legislature; short for 全國人民代表大會	TOCFL 6
人家	rénjiā	noun/pronoun — other people; others; someone else's household; (informal, mostly female) I/me	TOCFL 3
人工	réngōng	adjective — man-made, artificial; noun — manual labor; man-hours	TOCFL 5
人心	rénxīn	noun — people's hearts, popular sentiment; the human heart, human nature	TOCFL 4
人情	rénqíng	noun — human feeling; a favour; social obligation	TOCFL 5
人情味	rénqíngwèi	noun — human warmth, the warmth of human feeling; a personal, caring touch	TOCFL 4
人情味兒	rénqíngwèir	noun — human warmth, the warmth of human feeling (colloquial)	TOCFL 4
人手	rénshǒu	noun — manpower; hands (available workers)	TOCFL 5
人才	réncái	noun — a talented person; talent; gifted individual	TOCFL 4
人數	rénshù	noun — number of people; headcount	TOCFL 3
人格	réngé	noun — personality, character; a person's moral standing, integrity	TOCFL 4
人權	rénquán	noun — human rights	TOCFL 4
人次	réncì	noun — person-times (count of attendances/visits)	TOCFL 5
人民	rénmín	noun — the people (as a collective), citizenry	TOCFL 2
人民幣	rénmínbì	noun — the renminbi; the currency of mainland China (RMB)	TOCFL 5
人為	rénwéi	adjective — man-made, artificial, caused by humans	TOCFL 6
人物	rénwù	noun — figure; personage; character (in a story or history)	TOCFL 4
人生	rénshēng	noun — life, the course of a human life	TOCFL 4
人禍	rénhuò	noun — man-made disaster	TOCFL 5
人群	rénqún	noun — a crowd; a throng of people	TOCFL 6
人行道	rénxíngdào	noun — sidewalk, footpath, pavement	TOCFL 4
人造	rénzào	adjective — man-made; artificial, synthetic	TOCFL 5
人道	réndào	noun/adjective — humanity; humane	TOCFL 5
人選	rénxuǎn	noun — a candidate, the person picked for a role	TOCFL 5
人間	rénjiān	noun — the human world; this mortal world; among people	TOCFL 5
人際	rénjì	adjective — interpersonal (between people)	TOCFL 5
人類	rénlèi	noun — humanity; humankind; the human species	TOCFL 4
人馬	rénmǎ	noun — men and horses; troops; a body of people (under someone)	TOCFL 6
人體	réntǐ	noun — the human body	TOCFL 5
什麼	shénme	pronoun — what; anything, whatever (in negative or open contexts)	TOCFL 1
什麼樣	shénmeyàng	phrase — what kind of; what sort	TOCFL 3
仁愛	rén'ài	noun — benevolence; loving-kindness	TOCFL 5
仇恨	chóuhèn	noun — hatred, enmity; verb — to hate bitterly	TOCFL 5
今天	jīntiān	noun — today; this day	TOCFL 1
今年	jīnnián	noun — this year	TOCFL 1
今後	jīnhòu	noun — from now on; henceforth; the time ahead	TOCFL 4
介入	jièrù	verb — to intervene, to step in, to get involved	TOCFL 5
介紹	jièshào	verb — to introduce; to present; to recommend	TOCFL 2
仍然	réngrán	adverb — still; yet; as before	TOCFL 4
仔細	zǐxì	adjective — careful; attentive to detail; adverb — carefully	TOCFL 4
仕女	shìnǚ	noun — a lady of rank; a beauty depicted in classical painting	TOCFL 5
他人	tārén	noun/pronoun — other people; another person; others	TOCFL 4
他們	tāmen	pronoun — they, them	TOCFL 1
付出	fùchū	verb — to pay out, to give (effort, money, a price)	TOCFL 3
付款	fùkuǎn	verb — to pay; to make a payment	TOCFL 5
仙丹	xiāndān	noun — the elixir of immortality; a miracle cure	TOCFL 5
仙桃	xiāntáo	noun — the peach of immortality, the magic peach that grants long life in Chinese myth	TOCFL 7
代價	dàijià	noun — the price paid, the cost (of getting something)	TOCFL 6
代替	dàitì	verb — to replace, to substitute for; to take the place of	TOCFL 4
代溝	dàigōu	noun — generation gap	TOCFL 4
代理	dàilǐ	verb — to act on behalf of another; noun — agent; acting (officeholder)	TOCFL 5
代表	dàibiǎo	noun — representative; verb — to represent, to stand for	TOCFL 3
代課	dàikè	verb — to substitute-teach, to cover a class for another teacher	TOCFL 5
令人	lìngrén	verb — to make people (feel something)	TOCFL 5
以上	yǐshàng	postposition — above; more than; the foregoing (in text)	TOCFL 2
以下	yǐxià	locative — the following; below; under (a stated amount or rank)	TOCFL 3
以來	yǐlái	phrase — since (a point in time), up to now	TOCFL 3
以便	yǐbiàn	conjunction — so that; in order to (make something convenient)	TOCFL 6
以免	yǐmiǎn	conjunction — so as to avoid, lest, in order not to	TOCFL 3
以前	yǐqián	noun / adverb — before, previously; (a time) ago, prior to	TOCFL 1
以北	yǐběi	noun phrase — to the north of, north of (a stated line or place)	TOCFL 5
以及	yǐjí	conjunction — and; as well as; together with	TOCFL 2
以外	yǐwài	noun — beyond, outside of (a stated range); apart from	TOCFL 5
以往	yǐwǎng	noun — the past; former times; before	TOCFL 5
以後	yǐhòu	time word — after; afterwards; from now on; in the future	TOCFL 1
以為	yǐwéi	verb — to think, assume (often mistakenly)	TOCFL 2
以至	yǐzhì	conjunction — up to, down to; to the point that, so much that	TOCFL 5
以至於	yǐzhìyú	conjunction — up to the point that, so much so that	TOCFL 5
以致	yǐzhì	conjunction — so as to cause, with the result that (usually unwanted)	TOCFL 5
以致於	yǐzhìyú	conjunction — so as to cause, with the (usually unwanted) result that	TOCFL 5
以色列	yǐsèliè	proper noun — Israel, the country in the Middle East	named-entity
仰慕	yǎngmù	verb — to look up to and admire, to hold in high regard	TOCFL 5
任何	rènhé	pronoun/adjective — any; whatever; whichever	TOCFL 3
任免	rènmiǎn	verb — to appoint and dismiss (officials)	TOCFL 5
任務	rènwù	noun — mission; task; assignment; duty	TOCFL 4
任命	rènmìng	verb — to appoint (someone to an office); noun — an appointment	TOCFL 6
任性	rènxìng	adjective — wilful, self-indulgent, doing as one pleases regardless of others	TOCFL 4
任意	rènyì	adverb — at will, as one pleases; adjective — arbitrary	TOCFL 5
任期	rènqī	noun — term of office, tenure	TOCFL 6
任職	rènzhí	verb — to hold a post, serve in office	TOCFL 6
份兒	fènr	noun — a share, a portion; one's place or standing in a matter (colloquial)	TOCFL 4
仿冒	fǎngmào	verb — to counterfeit, to fake a brand; noun — a knock-off	TOCFL 5
仿造	fǎngzào	verb — to make a copy of, to manufacture an imitation	TOCFL 5
企圖	qǐtú	verb — to attempt, to scheme to (often disapproving); noun — an attempt, a design	TOCFL 6
企業	qǐyè	noun — enterprise, business, corporation	TOCFL 3
伊拉克	yīlākè	proper noun — Iraq, a country in Western Asia	named-entity
伊斯蘭教	yīsīlánjiào	noun — Islam (the Muslim religion)	named-entity
伊朗	Yīlǎng	proper noun — Iran, the country in West Asia	TOCFL 3
休假	xiūjià	verb — to take leave, to be on holiday; noun — vacation, time off	TOCFL 4
休息	xiūxí	verb/noun — to rest; a break	TOCFL 1
休閒	xiūxián	noun — leisure, recreation; adjective — casual, leisure-style	TOCFL 4
伙伴	huǒbàn	noun — a partner, a companion, a teammate	TOCFL 5
伯伯	bóbo	noun — father's elder brother; uncle (polite address for an older man)	TOCFL 2
伯母	bómǔ	noun — wife of father's elder brother; aunt (polite address for an older woman)	TOCFL 2
伯父	bófù	noun — father's elder brother (formal); uncle (polite for an older man)	TOCFL 2
估價	gūjià	verb — to appraise, to assess a price; noun — a valuation	TOCFL 5
估計	gūjì	verb — to estimate; to reckon	TOCFL 5
伸出	shēnchū	verb — to stretch out, to extend (a hand, arm)	TOCFL 4
伸張	shēnzhāng	verb — to uphold, to assert (justice, rights); to extend, to make prevail	TOCFL 5
伸手	shēnshǒu	verb — to reach out a hand; to ask for help or money	TOCFL 4
伺候	cìhòu	verb — to wait upon, to serve, to attend (to someone's needs)	TOCFL 5
似乎	sìhū	adverb — it seems, apparently, as if	TOCFL 3
似地	shìde	particle — like, as; in the manner of (after a simile)	TOCFL 5
似的	shìde	particle — like; as if; similar to (after a noun or phrase)	TOCFL 6
但是	dànshì	conjunction — but; however; yet	TOCFL 1
佇立	zhùlì	verb — to stand still for a long time, to linger standing	TOCFL 5
佈告	bùgào	noun — public notice, posted announcement; verb — to post a notice	TOCFL 4
佈告欄	bùgàolán	noun — notice board, bulletin board	TOCFL 4
佈局	bùjú	noun — a layout; an arrangement; verb — to lay out, to set the pieces (a board, a room, a plan)	TOCFL 7
佈置	bùzhì	verb — to arrange, to set out, to lay out (a room, a task, a plan); noun — the arrangement	TOCFL 5
位子	wèizi	noun — a seat, a place (to sit)	TOCFL 2
位於	wèiyú	verb — to be located at; to be situated in	TOCFL 4
位置	wèizhì	noun — position; location; place; spot	TOCFL 4
低於	dīyú	verb — to be lower than, to fall below (a number, a level)	TOCFL 5
低潮	dīcháo	noun — low tide; a low point, a slump (in mood or fortunes)	TOCFL 4
低聲	dīshēng	adverb — in a low voice; quietly	TOCFL 5
住址	zhùzhǐ	noun — a residential address	TOCFL 2
住宅	zhùzhái	noun — residence, dwelling, housing	TOCFL 4
住宿	zhùsù	verb — to lodge, to stay overnight; noun — accommodation	TOCFL 5
住戶	zhùhù	noun — a resident household, the occupants of a dwelling	TOCFL 4
住房	zhùfáng	noun — housing; a place to live	TOCFL 4
住院	zhùyuàn	verb — to be hospitalized, to be admitted to hospital	TOCFL 4
佔據	zhànjù	verb — to occupy, to seize and hold (a place, space, time)	TOCFL 5
佔有	zhànyǒu	verb — to possess, occupy, hold (a share, a position)	TOCFL 5
佔領	zhànlǐng	verb — to occupy; to seize and hold (territory)	TOCFL 5
何在	hézài	verb phrase — where lies...?, where is...? (literary)	TOCFL 5
何必	hébì	adverb — why bother; there's no need to	TOCFL 5
何況	hékuàng	conjunction — let alone; much less; not to mention (何況 …呢)	TOCFL 5
佛像	fóxiàng	noun — a statue or image of the Buddha	TOCFL 5
佛教	fójiào	noun — Buddhism	TOCFL 5
佛經	fójīng	noun — Buddhist scripture, a sutra	TOCFL 5
作出	zuòchū	verb — to make; to produce (a decision, contribution, effort, or work)	TOCFL 4
作品	zuòpǐn	noun — work (of art, literature, or craft); creation	TOCFL 4
作夢	zuòmèng	verb — to dream (in sleep); to daydream, to fantasize wishfully	TOCFL 3
作客	zuòkè	verb — to be a guest; to sojourn, to live away from home	TOCFL 4
作家	zuòjiā	noun — writer; author	TOCFL 4
作怪	zuòguài	verb — to make trouble, to act up; (of a hidden cause) to be at work	TOCFL 5
作戰	zuòzhàn	verb — to fight, to wage war, to do battle	TOCFL 5
作文	zuòwén	noun — a written composition, essay; verb — to write an essay	TOCFL 2
作業	zuòyè	noun — homework, assignment; (also) an operation, task to carry out	TOCFL 1
作法	zuòfǎ	noun — a way of doing something, method, approach	TOCFL 2
作為	zuòwéi	preposition — as; in the capacity of; serving as; verb — to act as; to function as	TOCFL 3
作物	zuòwù	noun — crop, cultivated plant	TOCFL 6
作用	zuòyòng	noun — function; effect; role; influence	TOCFL 3
作者	zuòzhě	noun — author, writer; the one who made the work	TOCFL 4
作證	zuòzhèng	verb — to testify, to bear witness, to give evidence	TOCFL 5
作風	zuòfēng	noun — a way of doing things; style, manner (of a person or group)	TOCFL 5
你們	nǐmen	pronoun — you (plural); all of you	TOCFL 1
佩服	pèifú	verb — to admire, to look up to (someone's ability or character)	TOCFL 4
佳人	jiārén	noun — a beautiful woman; a fine person (literary)	TOCFL 5
佳節	jiājié	noun — a happy festival, a joyous holiday	TOCFL 5
併發	bìngfā	verb — to break out at the same time; to occur alongside (esp. a complication of an illness)	TOCFL 5
使勁	shǐjìn	verb — to exert effort, to put one's strength into it	TOCFL 5
使命	shǐmìng	noun — a mission, an appointed task; a calling	TOCFL 5
使喚	shǐhuan	verb — to order someone about, to send on errands; to operate, handle (a tool)	TOCFL 5
使得	shǐdé	verb — to cause, to bring about (a result)	TOCFL 5
使用	shǐyòng	verb — to use; to employ; to make use of	TOCFL 2
使用者	shǐyòngzhě	noun — user; person who uses something	TOCFL 4
使節	shǐjié	noun — an envoy, a diplomatic emissary	TOCFL 5
來不及	láibùjí	phrase — there isn't enough time, too late to do something	TOCFL 3
來信	láixìn	noun — an incoming letter, a letter received; verb — to write in, to send a letter	TOCFL 4
來到	láidào	verb — to come; to arrive; to reach	TOCFL 2
來回	láihuí	noun — a round trip; adverb — back and forth, to and fro	TOCFL 4
來客	láikè	noun — a visitor, a guest who has arrived	TOCFL 5
來往	láiwǎng	verb — to come and go, to have dealings with someone; noun — contact, social exchange	TOCFL 4
來得	láide	verb — to turn out (to be), to come off as; used in comparisons to mean 'comes across as more …'	TOCFL 5
來得及	láidéjí	phrase — there is still time, able to make it in time	TOCFL 3
來源	láiyuán	noun — source; origin; where something comes from	TOCFL 4
來臨	láilín	verb — (of a time, season, or event) to arrive, to draw near, to set in	TOCFL 4
來自	láizì	verb — to come from; to originate from	TOCFL 3
來賓	láibīn	noun — a guest, an attendee (at an event)	TOCFL 5
例外	lìwài	noun — an exception; verb — to be an exception to a rule	TOCFL 4
例如	lìrú	conjunction — for example; for instance	TOCFL 3
侍衛	shìwèi	noun — a bodyguard; an imperial guard	TOCFL 7
供應	gōngyìng	verb — to supply, to provide; noun — supply	TOCFL 5
供給	gōngjǐ	verb — to supply, to provide; noun — supply (as opposed to demand)	TOCFL 5
供養	gòngyǎng	verb — to support and provide for (one's elders); to make offerings to (a deity, an ancestor)	TOCFL 5
依據	yījù	verb — to base on; prep — according to; noun — basis	TOCFL 5
依次	yīcì	adverb — one after another; in order	TOCFL 7
依法	yīfǎ	adverb — according to law; in accordance with the law	TOCFL ?
依然	yīrán	adverb — still; as before	TOCFL 6
依照	yīzhào	preposition — according to; in accordance with	TOCFL 5
